scenario,tasks,algorithm,fitness_mean,fitness_sd,runtime_mean_s,runtime_sd_s,convergence_mean
1,13,ACO,0.2681954759569646,0.0116485787606495,0.19971876333002,0.0586871611114097,16.5
1,13,DE,0.2780386257572923,0.0100447948299586,0.1011239000014029,0.0294831439366091,19.966666666666665
1,13,IPSO,0.2675392570062022,0.0113241160743935,0.0762443066613438,0.0189424790666743,21.633333333333333
1,13,GA,0.267561678117565,0.0090325556935048,0.0924589266612505,0.0283651780374167,22.066666666666663
1,13,PSO,0.2713959865941028,0.0102229234776892,0.0789260466738293,0.0285737149283724,20.83333333333333
2,15,ACO,0.2875432820289519,0.0088829844338982,0.2728334633167833,0.0679130737141489,17.0
2,15,DE,0.3017758044016624,0.009789747113109,0.1189832966658286,0.0286830303748057,20.9
2,15,IPSO,0.2917510618949844,0.0110537073788438,0.1046624933214237,0.0343984072245824,20.53333333333333
2,15,GA,0.2882206825861297,0.0087725658972148,0.1133159799966961,0.0347298037222698,22.33333333333333
2,15,PSO,0.2887321084283286,0.0131509771518928,0.1001563533403289,0.030570364494937,23.466666666666665
3,16,ACO,0.2765281325006435,0.0088511674438974,0.3224209900091713,0.0169542355839099,19.2
3,16,DE,0.2965352117147946,0.0128239089320251,0.1349950966541655,0.0146062488711582,20.73333333333333
3,16,IPSO,0.2862888915380284,0.0101685902006001,0.111451456672512,0.0112972238735651,20.966666666666665
3,16,GA,0.2773706513303067,0.0083299955999985,0.1263715633229973,0.0116892171581055,23.4
3,16,PSO,0.2902447109306474,0.0149444618301008,0.1067427733292182,0.0128994844308558,22.566666666666663
4,19,ACO,0.3441594754711404,0.0124267652868139,0.3250304666619437,0.0423908308567837,18.53333333333333
4,19,DE,0.3582365158269431,0.0106117057685524,0.1236714033371148,0.0152391495826975,20.266666666666666
4,19,IPSO,0.3400434625586974,0.0110629903099888,0.1059606066633326,0.01371356183639,19.3
4,19,GA,0.3404694052196167,0.0114425184407628,0.117519076676884,0.0228976671370303,23.4
4,19,PSO,0.3461452198281554,0.0141136179238309,0.1039310066533895,0.0148683873284834,23.166666666666668
5,22,ACO,0.348596609921292,0.011648197521609,0.3495033300093685,0.031269373213285,21.966666666666665
5,22,DE,0.3749736652469098,0.0106058016379376,0.1310823200231728,0.0192913852828802,19.766666666666666
5,22,IPSO,0.3533593989573305,0.0114385371071783,0.1109654566699949,0.0188911204478335,22.866666666666667
5,22,GA,0.3490736108955589,0.0102061806860193,0.1153473899971383,0.0190925834991703,24.23333333333333
5,22,PSO,0.3575832546662159,0.0102221837009887,0.1077123833548588,0.0167751561959261,23.7
6,25,ACO,0.3966324010795196,0.012029640515822,0.3906885699989895,0.0329353628830792,22.166666666666668
6,25,DE,0.4321066503419878,0.0077370628739396,0.1365897433444236,0.0182969627778531,19.8
6,25,IPSO,0.3965217303444545,0.008626372021678,0.1115408433290819,0.0151489745463442,20.9
6,25,GA,0.4029536519138386,0.0111973876051119,0.1212583966630821,0.0167618768722922,24.366666666666667
6,25,PSO,0.4198095058339086,0.0128842237621429,0.1108782833403286,0.018719540627114,22.433333333333334
7,26,ACO,0.4053846194314593,0.0118576931695745,0.3800797333242371,0.04086132923569,21.133333333333333
7,26,DE,0.4443225348863308,0.0091690643002151,0.1366346566743838,0.0125444832730016,18.8
7,26,IPSO,0.3817893186011514,0.0064173814243291,0.1105841666692867,0.0201545026924816,16.666666666666668
7,26,GA,0.4174542295688503,0.0125149836793857,0.1269455233394789,0.0174951773858308,23.73333333333333
7,26,PSO,0.4275605258078158,0.0163494720498502,0.1117147266787166,0.0162125080762449,23.366666666666667
8,28,ACO,0.446135441181209,0.0124980307087902,0.4350640933223379,0.0394598122672607,22.133333333333333
8,28,DE,0.485259779305432,0.0118033228370146,0.1438868333352729,0.0202370556391821,20.4
8,28,IPSO,0.4441571598656272,0.0093919532880034,0.1248163966656041,0.0143614774727752,15.0
